Discuz(康盛)	Body="Powered by Discuz!"
EspCMS(易思)	Body="espcms"
SiteServer	Body="siteserver"
ikuai	Body="ikuai"
liangjing(良精)	Body="liangjing"
智睿软件	Body="images/ZhiRui.js"
智睿软件	Body="images/ZhiRui.css"
IMGCms	Body="content=\"IMGCMS"
大米CMS	Body="content=\"damicms"
大米CMS	Body="content=\"大米CMS"
科蚁CMS	Body="keyicms：keyicms"
科蚁CMS	Body="Powered by <a href=\"http://www.keyicms.com"
Jspxcms	Body="/template/1/bluewise/_files/jspxcms.css"
易普拉格科研管理系统	Body="lan12-jingbian-hong"
JBOSS	Header~="JBoss(AS)?-([^/^s]+)"
SwaggerUI	Body="Swagger UI" || Body="/swagger-ui.css" || Body="swagger-ui-bundle.js" || Body="swagger-ui-standalone-preset.js"
Ruijie	Body="4008 111 000"
HuaweiSMC	Body="Script/SmcScript.js?version="
H3CRouter	Body="/wnm/ssl/web/frame/login.html"
CiscoSSLVPN	Body="/+CSCOE+/logon.html"
通达OA	Body="/images/tongda.ico"
通达OA	Body="Office Anywhere"
通达OA	Body="通达OA" && Body="login"
深信服waf	Body="rsa.js" && Body="commonFunction.js"
深信服防火墙数据中心	Body="Redirect to..." && Body="/LogInOut.php"
天融信防火墙	Body="TOPSEC" && Body="image/aaa.png" && Body="username"
网御vpn	Body="/vpn/common/js/leadsec.js" && Body="/vpn/user/common/custom/auth_home.css"
Typecho	Body="typecho" && Body="usr/themes"
